#{"t_start": 1760358203.381485, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,702,4.28311
0.0,536,4.941542
0.0,543,5.574821
2.0,818,6.659275
0.0,515,7.311953
1.0,702,8.215252
3.0,1092,9.699379
2.0,809,10.807026
4.0,1196,12.410756
3.0,1012,13.776332
1.0,731,14.724856
0.0,527,15.396797
0.0,525,16.111507
1.0,715,17.027083
0.0,506,17.688981
0.0,516,18.41768
0.0,535,19.088813
2.0,810,20.148019
3.0,1028,21.551359
1.0,696,22.438751
4.0,1212,24.060845
0.0,536,24.740021
1.0,703,25.642563
4.0,1136,27.169302
2.0,845,28.301656
1.0,621,29.119416
0.0,515,29.769485
2.0,908,30.934393
2.0,826,32.009027
0.0,541,32.707934
1.0,651,33.525532
1.0,628,34.372814
1.0,707,35.309978
1.0,700,36.22921
0.0,520,36.906636
2.0,819,37.951238
0.0,520,38.599664
0.0,536,39.269884
1.0,616,40.062584
0.0,508,40.690101
2.0,912,41.897986
0.0,528,42.572351
2.0,909,43.737649
2.0,917,44.949085
1.0,708,45.832157
2.0,914,47.017719
2.0,817,48.087391
1.0,698,49.007148
0.0,523,49.677034
3.0,992,50.987737
2.0,822,52.037543
0.0,524,52.709108
1.0,698,53.641834
3.0,946,54.84275
0.0,508,55.505199
0.0,516,56.142951
0.0,525,56.799387
4.0,1298,58.576859
4.0,1232,60.261163
0.0,516,60.91004
4.0,1216,62.499244
3.0,954,63.7695
0.0,527,64.427753
3.0,1012,65.806053
0.0,515,66.472248
1.0,701,67.385531
2.0,833,68.463647
0.0,516,69.146651
0.0,525,69.810728
1.0,717,70.728516
0.0,529,71.385436
1.0,709,72.315965
1.0,719,73.227643
2.0,852,74.330779
1.0,698,75.258025
2.0,913,76.4487
1.0,644,77.290636
0.0,517,77.958743
0.0,533,78.621427
0.0,525,79.243465
2.0,910,80.427079
1.0,640,81.250359
0.0,505,81.875737
1.0,711,82.798728
8.0,1500,84.833151
0.0,506,85.483055
2.0,927,86.670551
1.0,648,87.474067
3.0,1100,88.944592
2.0,814,90.042694
3.0,1009,91.412039
0.0,520,92.055248
0.0,532,92.710013
0.0,507,93.370898
2.0,742,94.374959
0.0,537,95.062587
3.0,1087,96.571794
0.0,531,97.251772
2.0,823,98.347462
3.0,900,99.565834
1.0,641,100.400412
0.0,533,101.075781
0.0,508,101.719472
0.0,527,102.40476
1.0,644,103.222772
0.0,533,103.883983
1.0,723,104.849662
1.0,649,105.664557
0.0,515,106.324882
3.0,1010,107.696659
5.0,1323,109.473445
1.0,723,110.384961
0.0,543,111.068218
1.0,693,111.959054
0.0,524,112.600709
1.0,705,113.494259
4.0,1226,115.148094
0.0,527,115.816285
0.0,529,116.477926
5.0,1292,118.252658
0.0,521,119.034769
2.0,819,120.139238
1.0,710,121.030743
0.0,503,121.675151
0.0,523,122.340464
1.0,715,123.234576
0.0,513,123.894486
0.0,515,124.552732
1.0,612,125.310825
1.0,636,126.116347
2.0,833,127.24154
0.0,521,127.871304
1.0,695,128.800484
1.0,719,129.719249
4.0,1212,131.308813
0.0,517,131.945808
4.0,1200,133.543972
5.0,1418,135.404879
1.0,705,136.35103
4.0,1130,137.858497
0.0,526,138.540956
2.0,825,139.65813
0.0,541,140.340959
0.0,507,140.984991
0.0,515,141.648818
0.0,537,142.29564
1.0,699,143.230178
0.0,515,143.859851
0.0,511,144.505417
2.0,839,145.604039
0.0,533,146.25707
2.0,806,147.297674
0.0,507,149.126792
0.0,539,149.938716
1.0,616,150.940743
0.0,529,151.766966
0.0,505,152.550819
1.0,654,153.583238
4.0,1014,155.235646
2.0,826,156.559602
1.0,631,157.541787
0.0,515,158.37302
1.0,636,159.389519
1.0,621,160.368298
0.0,543,161.18684
2.0,765,162.422503
0.0,531,163.2526
2.0,836,164.594333
0.0,515,165.400864
3.0,938,166.872068
0.0,506,167.662059
0.0,517,168.446887
2.0,829,169.75998
2.0,829,171.060829
0.0,529,171.863848
2.0,899,173.298985
3.0,870,174.736156
1.0,695,175.815763
3.0,1016,177.524119
0.0,524,178.362101
1.0,624,179.366471
0.0,506,180.155043
1.0,640,181.134016
2.0,821,182.424495
0.0,525,183.249093
5.0,1430,185.567371
0.0,518,186.340531
0.0,522,187.148734
2.0,751,188.374563
0.0,521,189.20724
0.0,513,189.963386
1.0,697,191.104584
3.0,960,192.650073
6.0,1602,195.366605
0.0,526,196.210643
0.0,526,197.031097
1.0,645,198.050279
0.0,501,198.828552
6.0,1378,201.103683
2.0,818,202.444178
2.0,812,203.749402
1.0,728,204.904601
4.0,1126,206.780153
0.0,534,207.563339
4.0,1141,209.487785
2.0,901,210.919423
5.0,1420,213.221229
3.0,1019,214.904163
4.0,1284,217.004716
0.0,525,217.80205
2.0,775,219.058594
2.0,911,220.570291
1.0,710,221.694976
3.0,971,223.254369
0.0,507,224.016197
4.0,1216,226.042305
2.0,928,227.552142
0.0,517,228.358327
0.0,520,229.170143
0.0,510,229.95203
1.0,613,230.940377
1.0,652,231.921149
1.0,636,232.922469
1.0,708,234.041316
1.0,724,235.174788
5.0,1310,237.330212
0.0,531,238.150732
1.0,710,239.282526
2.0,802,240.630798
1.0,716,241.79677
2.0,912,243.261859
2.0,912,244.741879
3.0,1089,246.489559
0.0,516,247.286091
0.0,533,248.091424
0.0,512,248.880172
1.0,728,250.034051
0.0,522,250.875713
0.0,512,251.698241
6.0,1325,253.873663
0.0,539,254.682426
0.0,524,255.512049
1.0,720,256.711814
5.0,1324,258.875484
0.0,522,259.652645
1.0,637,260.725682
2.0,797,262.052557
4.0,1193,264.02906
0.0,499,264.80791
0.0,532,265.627749
1.0,646,266.665046
0.0,536,267.503999
0.0,516,268.283114
2.0,819,269.636214
1.0,632,270.612441
1.0,643,271.613603
0.0,516,272.404911
1.0,716,273.52557
4.0,1292,275.667042
0.0,509,276.431348
2.0,831,277.791628
0.0,536,278.649801
2.0,841,279.954856
0.0,514,280.7446
0.0,533,281.588061
4.0,1275,283.73249
0.0,499,284.51396
0.0,532,285.328025
0.0,520,286.144368
3.0,1008,287.797091
3.0,939,289.323109
0.0,508,290.132673
2.0,832,291.514541
1.0,687,292.588299
1.0,637,293.571848
1.0,719,294.696526
0.0,532,295.495133
0.0,516,296.271675
0.0,527,297.074887
2.0,839,298.432478
0.0,511,299.248275
2.0,830,300.574576
1.0,701,301.666845
2.0,821,302.967789
4.0,1136,304.838315
0.0,517,305.695264
4.0,1142,307.59651
0.0,525,308.429164
6.0,1507,310.972435
3.0,1044,312.65941
0.0,516,313.452706
0.0,517,314.238569
0.0,524,315.035508
1.0,630,316.070242
5.0,1496,318.610595
4.0,1294,320.756254
0.0,535,321.569283
2.0,834,322.869811
3.0,936,324.421621
0.0,513,325.333075
2.0,810,326.681299
2.0,803,328.004138
1.0,636,328.975543
0.0,527,329.800924
1.0,628,330.766932
0.0,527,331.589052
5.0,1316,333.771615
0.0,505,334.53974
1.0,714,335.684729
