#{"t_start": 1760405989.5269659, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,1016,5.777905
0.0,520,6.813755
8.0,1426,9.71702
2.0,818,11.196527
3.0,942,13.0927
1.0,635,14.225759
0.0,543,15.206819
0.0,527,16.158736
1.0,711,17.464754
0.0,540,18.41943
0.0,512,19.37508
0.0,525,20.355708
1.0,644,21.54358
0.0,531,22.544328
0.0,543,23.531573
0.0,508,24.511817
0.0,516,25.51364
4.0,1140,27.761482
2.0,839,29.271889
2.0,808,30.929467
3.0,1108,33.119996
0.0,521,34.124599
1.0,707,35.438632
2.0,901,37.095525
0.0,526,38.06955
0.0,541,39.060245
1.0,691,40.29612
0.0,513,41.281913
0.0,535,42.248009
3.0,992,44.169834
1.0,700,45.417734
1.0,619,46.563413
0.0,519,47.535577
0.0,516,48.458119
0.0,500,49.425518
0.0,515,50.400875
1.0,726,51.719005
1.0,648,52.880525
2.0,764,54.420485
0.0,517,55.230324
1.0,696,56.693141
1.0,719,57.972301
5.0,1387,60.762158
0.0,537,61.602275
2.0,825,63.272094
0.0,507,64.209503
0.0,527,65.130069
5.0,1398,67.71747
2.0,814,69.354227
0.0,512,70.322706
0.0,543,71.314662
0.0,505,72.113658
0.0,529,73.081602
4.0,1123,75.200672
5.0,1502,78.16441
0.0,537,79.102903
6.0,1598,82.239687
0.0,508,83.198854
1.0,628,84.35304
0.0,508,85.331996
0.0,529,86.309615
0.0,531,87.245755
4.0,1200,89.533095
0.0,516,90.474758
1.0,715,91.780936
1.0,647,92.94445
2.0,837,94.595799
13.0,2203,98.892024
1.0,733,100.208013
0.0,519,101.183099
3.0,1088,103.277789
0.0,541,104.269887
0.0,508,105.191889
3.0,971,107.080476
5.0,1336,109.59108
11.0,2004,113.591155
7.0,1724,116.910242
0.0,529,117.890043
9.0,1534,120.897238
1.0,709,122.196781
3.0,1018,124.15742
2.0,825,125.610617
0.0,519,126.556588
0.0,539,127.525625
4.0,1326,130.184358
0.0,523,130.953013
2.0,841,132.641096
2.0,753,133.988468
1.0,640,135.116428
4.0,1090,137.183552
1.0,636,138.343156
0.0,519,139.319502
0.0,527,140.26269
1.0,639,141.414359
0.0,532,142.349466
1.0,653,143.533111
6.0,1317,146.191634
0.0,507,147.137797
4.0,1112,149.325977
0.0,531,150.295992
0.0,519,151.219467
0.0,524,152.010232
0.0,508,152.949548
0.0,540,153.90659
0.0,519,154.867056
1.0,739,156.165102
6.0,1488,159.005588
12.0,1290,161.601693
1.0,644,162.738914
8.0,1696,165.974871
0.0,516,166.928677
12.0,1306,169.382874
0.0,523,170.334626
0.0,531,171.315301
0.0,528,172.277432
13.0,1342,174.791251
0.0,520,175.751849
7.0,1007,177.66524
1.0,631,178.778414
2.0,761,180.115864
15.0,2120,184.252289
12.0,2092,188.281771
10.0,2178,192.589986
0.0,532,193.381522
17.0,2200,197.852533
0.0,540,198.795071
12.0,2086,202.696898
3.0,1107,204.768539
7.0,1011,206.678449
0.0,528,207.627951
5.0,1503,210.623632
1.0,653,211.751129
5.0,1303,214.296344
17.0,1478,217.053223
3.0,1149,219.180039
9.0,2103,223.293407
11.0,1099,225.393987
13.0,2186,229.840528
