#{"t_start": 1760706908.3570316, "env_id": "CartPole-v1"}
r,l,t
10.0,10,241.358127
13.0,13,241.359887
23.0,23,241.36201
10.0,10,241.3632
33.0,33,241.36806
11.0,11,241.369165
12.0,12,241.370442
38.0,38,241.373902
12.0,12,241.375334
24.0,24,241.377456
15.0,15,241.378765
14.0,14,241.38002
16.0,16,241.381596
36.0,36,241.384546
69.0,69,241.390074
32.0,32,241.392918
25.0,25,241.39523
15.0,15,241.396586
26.0,26,241.398643
21.0,21,241.400248
12.0,12,241.401315
13.0,13,241.402344
27.0,27,241.404458
14.0,14,241.405611
12.0,12,241.406681
15.0,15,241.407912
17.0,17,241.409291
10.0,10,241.41007
10.0,10,241.41097
15.0,15,241.412114
9.0,9,241.412963
13.0,13,241.414004
49.0,49,241.417743
16.0,16,241.41906
15.0,15,241.420253
25.0,25,241.422238
10.0,10,241.423215
13.0,13,241.424262
45.0,45,241.427863
33.0,33,241.430371
28.0,28,241.432755
24.0,24,241.434739
22.0,22,241.436456
19.0,19,241.437916
10.0,10,241.4388
12.0,12,241.43976
30.0,30,241.442082
15.0,15,241.443318
10.0,10,241.444258
44.0,44,241.526996
14.0,14,241.528143
11.0,11,241.529073
18.0,18,241.530777
14.0,14,241.532072
32.0,32,241.53464
20.0,20,241.536174
19.0,19,241.537836
15.0,15,241.539038
26.0,26,241.541066
19.0,19,241.54378
20.0,20,241.545649
11.0,11,241.54663
19.0,19,241.548118
20.0,20,241.549768
59.0,59,241.554513
18.0,18,241.555939
17.0,17,241.557238
11.0,11,241.558141
11.0,11,241.559104
18.0,18,241.560533
41.0,41,241.563681
12.0,12,241.564775
40.0,40,241.567914
18.0,18,241.569349
12.0,12,241.570346
26.0,26,241.572421
12.0,12,241.573603
14.0,14,241.574792
22.0,22,241.576471
13.0,13,241.577495
16.0,16,241.578863
26.0,26,241.581024
17.0,17,241.582413
18.0,18,241.583876
18.0,18,241.58535
15.0,15,241.58656
15.0,15,241.587736
12.0,12,241.588701
46.0,46,241.592185
18.0,18,241.593604
23.0,23,241.595434
52.0,52,241.599499
24.0,24,241.601451
42.0,42,241.604598
24.0,24,241.607255
16.0,16,241.608555
21.0,21,241.610358
27.0,27,241.612721
13.0,13,241.613784
18.0,18,241.615242
17.0,17,241.616802
23.0,23,241.618635
15.0,15,241.619817
42.0,42,241.62297
9.0,9,241.623804
16.0,16,241.625039
18.0,18,241.626544
16.0,16,241.627874
35.0,35,241.630592
35.0,35,241.633252
27.0,27,241.63532
35.0,35,241.637976
15.0,15,241.639223
22.0,22,241.640975
28.0,28,241.643086
14.0,14,241.644217
38.0,38,241.647371
15.0,15,241.648565
15.0,15,241.650002
24.0,24,241.651921
18.0,18,241.653471
10.0,10,241.654264
63.0,63,241.65906
20.0,20,241.660612
28.0,28,241.663101
14.0,14,241.664225
44.0,44,241.667582
16.0,16,241.668816
18.0,18,241.670441
23.0,23,241.67225
31.0,31,241.674657
34.0,34,241.677261
11.0,11,241.678315
20.0,20,241.679949
38.0,38,241.683092
33.0,33,241.685731
33.0,33,241.689087
47.0,47,241.692709
24.0,24,241.694539
28.0,28,241.696654
12.0,12,241.697711
9.0,9,241.698447
12.0,12,241.699403
12.0,12,241.700353
43.0,43,241.7037
22.0,22,241.70545
21.0,21,241.707042
22.0,22,241.70883
18.0,18,241.710319
16.0,16,241.711574
33.0,33,241.714137
28.0,28,241.716372
30.0,30,241.718764
48.0,48,241.72234
9.0,9,241.72306
21.0,21,241.72471
19.0,19,241.726877
18.0,18,241.728399
11.0,11,241.729317
14.0,14,241.730469
10.0,10,241.73143
13.0,13,241.732526
27.0,27,241.73458
9.0,9,241.735309
11.0,11,241.736343
16.0,16,241.737627
24.0,24,241.739536
21.0,21,241.741137
14.0,14,241.742334
13.0,13,241.743405
26.0,26,241.74539
52.0,52,241.749367
48.0,48,241.753044
26.0,26,241.755113
12.0,12,241.756069
15.0,15,241.757224
28.0,28,241.759562
11.0,11,241.760509
15.0,15,241.761745
17.0,17,241.763105
16.0,16,241.765116
26.0,26,241.767752
12.0,12,241.768982
12.0,12,241.771219
10.0,10,241.77252
25.0,25,241.775177
10.0,10,241.776434
23.0,23,241.778943
19.0,19,241.78113
14.0,14,241.782798
15.0,15,241.784434
10.0,10,241.785432
11.0,11,241.786606
39.0,39,241.789664
27.0,27,241.791783
13.0,13,241.792907
14.0,14,241.794111
17.0,17,241.795532
32.0,32,241.798016
36.0,36,241.800856
20.0,20,241.802516
17.0,17,241.803891
12.0,12,241.804908
14.0,14,241.80601
44.0,44,241.809649
21.0,21,241.81132
26.0,26,241.813319
18.0,18,241.814692
13.0,13,241.815842
11.0,11,241.816708
42.0,42,241.820056
77.0,77,241.825781
27.0,27,241.828064
17.0,17,241.829388
21.0,21,241.830973
11.0,11,241.831866
19.0,19,241.83346
12.0,12,241.834415
12.0,12,241.83536
70.0,70,241.840462
34.0,34,241.843126
24.0,24,241.844951
22.0,22,241.846636
13.0,13,241.847689
22.0,22,241.849455
16.0,16,241.850697
15.0,15,241.851939
17.0,17,241.853238
40.0,40,241.857133
14.0,14,241.858349
18.0,18,241.859764
35.0,35,241.862402
15.0,15,241.863684
13.0,13,241.864724
11.0,11,241.865628
17.0,17,241.86695
27.0,27,241.869085
11.0,11,241.869949
19.0,19,241.871451
13.0,13,241.872459
13.0,13,241.873621
18.0,18,241.874989
18.0,18,241.876398
22.0,22,241.878046
33.0,33,241.88069
16.0,16,241.881926
9.0,9,241.882694
21.0,21,241.884384
50.0,50,241.888324
31.0,31,241.890679
19.0,19,241.892137
16.0,16,241.893378
17.0,17,241.894794
48.0,48,241.898374
24.0,24,241.900285
15.0,15,241.901524
16.0,16,241.902882
26.0,26,241.904837
16.0,16,241.906404
11.0,11,241.907352
11.0,11,241.908567
19.0,19,241.910088
14.0,14,241.911183
25.0,25,241.913075
37.0,37,241.916069
21.0,21,241.91769
16.0,16,241.918931
27.0,27,241.92111
12.0,12,241.922185
28.0,28,241.924317
12.0,12,241.925255
15.0,15,241.926425
11.0,11,241.927479
10.0,10,241.928311
13.0,13,241.929328
43.0,43,241.932559
16.0,16,241.933887
15.0,15,241.935792
10.0,10,241.936646
15.0,15,241.938314
25.0,25,241.940579
12.0,12,241.941583
18.0,18,241.942999
39.0,39,241.946032
15.0,15,241.947593
10.0,10,241.948512
12.0,12,241.94951
13.0,13,241.950598
15.0,15,241.951882
14.0,14,241.953007
16.0,16,241.954315
31.0,31,241.956653
18.0,18,241.958174
33.0,33,241.960655
14.0,14,241.961768
14.0,14,241.962843
23.0,23,241.964744
31.0,31,241.967092
11.0,11,241.967984
35.0,35,241.970616
25.0,25,241.972696
16.0,16,241.973981
13.0,13,241.975007
14.0,14,241.976109
16.0,16,241.977541
30.0,30,241.979806
24.0,24,241.981626
16.0,16,241.983027
14.0,14,241.984234
30.0,30,241.98661
50.0,50,241.99031
14.0,14,241.991429
11.0,11,241.992404
20.0,20,241.993971
82.0,82,241.999973
57.0,57,242.004202
22.0,22,242.005986
10.0,10,242.006795
13.0,13,242.00784
35.0,35,242.010619
15.0,15,242.011909
15.0,15,242.013083
15.0,15,242.014353
55.0,55,242.019324
18.0,18,242.020852
37.0,37,242.023655
21.0,21,242.025312
13.0,13,242.026383
14.0,14,242.027744
18.0,18,242.029192
10.0,10,242.029982
15.0,15,242.031182
