#{"t_start": 1760716355.7330248, "env_id": "CartPole-v1"}
r,l,t
16.0,16,5.495633
14.0,14,5.506323
14.0,14,5.517112
9.0,9,5.523937
24.0,24,5.541986
29.0,29,5.562609
17.0,17,5.574454
19.0,19,5.587687
14.0,14,5.597426
10.0,10,5.604801
36.0,36,5.630394
14.0,14,5.640249
33.0,33,5.663539
21.0,21,5.678226
21.0,21,5.692787
15.0,15,5.703933
10.0,10,5.711275
13.0,13,5.720298
11.0,11,5.72791
79.0,79,5.78891
48.0,48,5.822184
14.0,14,5.832183
15.0,15,5.842972
14.0,14,5.852847
24.0,24,5.869745
16.0,16,5.881071
14.0,14,5.890979
36.0,36,5.916574
9.0,9,5.922874
13.0,13,5.932114
40.0,40,5.960272
14.0,14,5.970828
18.0,18,5.984876
14.0,14,5.994692
21.0,21,6.009624
19.0,19,6.022721
18.0,18,6.035276
13.0,13,6.044463
24.0,24,6.061063
14.0,14,6.071032
18.0,18,6.083406
12.0,12,6.091915
17.0,17,6.104357
32.0,32,6.126996
14.0,14,6.136727
12.0,12,6.14526
29.0,29,6.165356
20.0,20,6.179194
17.0,17,6.191288
12.0,12,6.199621
19.0,19,6.212911
33.0,33,6.235888
21.0,21,6.250705
21.0,21,6.265219
12.0,12,6.27354
17.0,17,6.285281
20.0,20,6.299186
14.0,14,6.308874
34.0,34,6.332129
25.0,25,6.349849
15.0,15,6.360856
24.0,24,6.377687
19.0,19,6.412245
14.0,14,6.426286
18.0,18,6.439231
25.0,25,6.456905
22.0,22,6.472317
14.0,14,6.483901
32.0,32,6.506721
23.0,23,6.522413
20.0,20,6.536165
14.0,14,6.545755
24.0,24,6.56219
12.0,12,6.570491
13.0,13,6.579413
20.0,20,6.593159
49.0,49,6.627058
18.0,18,6.639415
10.0,10,6.646551
18.0,18,6.658899
26.0,26,6.680933
13.0,13,6.692172
17.0,17,6.706806
10.0,10,6.715525
33.0,33,6.747857
26.0,26,6.766538
15.0,15,6.777354
12.0,12,6.786184
25.0,25,6.80443
14.0,14,6.814319
18.0,18,6.826922
15.0,15,6.83726
10.0,10,6.844194
13.0,13,6.855819
37.0,37,6.881513
19.0,19,6.895136
11.0,11,6.903115
13.0,13,6.912237
21.0,21,6.926921
31.0,31,6.94811
25.0,25,6.965212
21.0,21,6.981733
16.0,16,8.206432
53.0,53,8.2441
51.0,51,8.280386
20.0,20,8.29419
27.0,27,8.312857
17.0,17,8.324627
14.0,14,8.334289
54.0,54,8.374706
59.0,59,8.416005
26.0,26,8.434065
60.0,60,8.483961
68.0,68,8.537208
11.0,11,8.544909
14.0,14,8.554692
38.0,38,8.581713
33.0,33,8.605126
25.0,25,8.622867
23.0,23,8.639385
18.0,18,8.653402
18.0,18,8.666261
49.0,49,8.700491
19.0,19,8.714177
17.0,17,8.726101
51.0,51,8.761681
16.0,16,8.773031
32.0,32,8.79529
26.0,26,8.813518
20.0,20,8.836163
22.0,22,8.852345
58.0,58,8.899568
24.0,24,8.923862
18.0,18,8.94097
80.0,80,9.001812
32.0,32,9.024315
30.0,30,9.045415
18.0,18,9.058031
39.0,39,9.085176
14.0,14,9.095037
68.0,68,9.1421
10.0,10,9.149162
18.0,18,9.161844
32.0,32,9.184718
14.0,14,9.194745
60.0,60,9.236636
31.0,31,9.262451
24.0,24,9.279675
27.0,27,9.29953
23.0,23,9.322079
24.0,24,9.339328
30.0,30,9.360916
38.0,38,9.387729
25.0,25,9.405296
26.0,26,9.42342
20.0,20,9.437809
16.0,16,9.449236
33.0,33,9.47219
74.0,74,9.538331
26.0,26,9.556624
35.0,35,9.58072
56.0,56,9.619416
23.0,23,9.635398
19.0,19,9.649038
26.0,26,9.667438
31.0,31,9.689301
33.0,33,10.947479
76.0,76,11.005222
23.0,23,11.021809
22.0,22,11.037481
27.0,27,11.056535
34.0,34,11.080553
54.0,54,11.118324
47.0,47,11.154811
42.0,42,11.185257
23.0,23,11.201634
32.0,32,11.224565
19.0,19,11.237943
41.0,41,11.271338
21.0,21,11.286129
27.0,27,11.304865
18.0,18,11.317479
68.0,68,11.364096
51.0,51,11.399312
68.0,68,11.446262
42.0,42,11.475337
20.0,20,11.489195
58.0,58,11.530954
21.0,21,11.545626
22.0,22,11.560754
108.0,108,11.647596
48.0,48,11.681913
129.0,129,11.786641
13.0,13,11.796355
18.0,18,11.809816
96.0,96,11.87858
57.0,57,11.919028
29.0,29,11.939336
53.0,53,11.97744
29.0,29,11.999249
92.0,92,12.063803
58.0,58,12.109262
71.0,71,12.160586
87.0,87,12.222338
23.0,23,12.238361
53.0,53,12.279334
90.0,90,12.344361
23.0,23,12.371561
159.0,159,14.306654
86.0,86,14.406391
32.0,32,14.437858
15.0,15,14.451753
50.0,50,14.501838
20.0,20,14.524238
40.0,40,14.572634
108.0,108,14.686776
28.0,28,14.715791
157.0,157,14.883075
77.0,77,14.937572
152.0,152,15.048605
78.0,78,15.103726
16.0,16,15.115241
45.0,45,15.146288
80.0,80,15.201334
170.0,170,15.328919
108.0,108,15.405915
22.0,22,15.421367
131.0,131,15.515312
112.0,112,15.598739
25.0,25,15.616684
42.0,42,15.646365
32.0,32,15.669065
24.0,24,15.685795
114.0,114,15.773741
55.0,55,15.813643
72.0,72,15.877645
104.0,104,15.949776
142.0,142,17.29635
32.0,32,17.319675
208.0,208,17.47481
54.0,54,17.513516
191.0,191,17.655005
63.0,63,17.700028
226.0,226,17.873961
114.0,114,17.968249
